    1001
      tau        trans        e3
 7.298111916e-01 4.819999933e-01 1.592201293e-01
 7.277386189e-01 4.830000103e-01 1.596853733e-01
 7.256703973e-01 4.839999974e-01 1.601511836e-01
 7.236063480e-01 4.850000143e-01 1.606175303e-01
 7.215466499e-01 4.860000014e-01 1.610844433e-01
 7.194911838e-01 4.869999886e-01 1.615519077e-01
 7.174398899e-01 4.880000055e-01 1.620199531e-01
 7.153928280e-01 4.889999926e-01 1.624885201e-01
 7.133498788e-01 4.900000095e-01 1.629576981e-01
 7.113111615e-01 4.909999967e-01 1.634273976e-01
 7.092765570e-01 4.920000136e-01 1.638976634e-01
 7.072461247e-01 4.930000007e-01 1.643684804e-01
 7.052198052e-01 4.939999878e-01 1.648398936e-01
 7.031974792e-01 4.950000048e-01 1.653118432e-01
 7.011793852e-01 4.959999919e-01 1.657843441e-01
