################ NH3 FUV Absorption Cross Section  ####################
Source Liang et al. (2007), interpolated to 0.01 nm
 
 COLUMN 1:      vacuum wavelength (nm) 
 COLUMN 2:      cross section (cm^2/molecule)   @300
 
DATE OF FILE CREATION: 11.09.2018 - Henrik Melin
 
NUMBER OF LINES: 8601
      143.960  2.26082e-18
      143.970  2.06524e-18
      143.980  1.86966e-18
      143.990  1.79919e-18
      144.000  1.72883e-18
      144.010  1.75511e-18
      144.020  1.78144e-18
      144.030  1.77250e-18
      144.040  1.76356e-18
      144.050  1.71756e-18
      144.060  1.67164e-18
      144.070  1.62846e-18
      144.080  1.58534e-18
      144.090  1.55655e-18
      144.100  1.52771e-18
      144.110  1.59369e-18
      144.120  1.65967e-18
      144.130  1.66366e-18
      144.140  1.66765e-18
      144.150  1.54317e-18
      144.160  1.41850e-18
      144.170  1.41946e-18
      144.180  1.42042e-18
      144.190  1.48032e-18
      144.200  1.54012e-18
      144.210  1.50389e-18
      144.220  1.46771e-18
      144.230  1.47229e-18
      144.240  1.47687e-18
      144.250  1.47066e-18
      144.260  1.46446e-18
      144.270  1.40967e-18
      144.280  1.35496e-18
      144.290  1.31738e-18
      144.300  1.27974e-18
      144.310  1.32308e-18
      144.320  1.36648e-18
      144.330  1.34018e-18
      144.340  1.31388e-18
      144.350  1.27409e-18
      144.360  1.23437e-18
      144.370  1.19938e-18
      144.380  1.16433e-18
      144.390  1.21125e-18
      144.400  1.25816e-18
      144.410  1.23613e-18
      144.420  1.21413e-18
      144.430  1.23333e-18
      144.440  1.25255e-18
      144.450  1.25048e-18
      144.460  1.24841e-18
      144.470  1.21132e-18
      144.480  1.17423e-18
      144.490  1.17733e-18
      144.500  1.18043e-18
      144.510  1.13842e-18
      144.520  1.09635e-18
      144.530  1.12450e-18
      144.540  1.15265e-18
      144.550  1.19229e-18
      144.560  1.23186e-18
      144.570  1.23703e-18
      144.580  1.24220e-18
      144.590  1.22286e-18
      144.600  1.20349e-18
      144.610  1.21982e-18
      144.620  1.23615e-18
      144.630  1.29220e-18
      144.640  1.34816e-18
      144.650  1.53192e-18
      144.660  1.71597e-18
      144.670  3.80951e-18
      144.680  5.90306e-18
      144.690  5.23704e-18
      144.700  4.57204e-18
      144.710  4.10619e-18
      144.720  3.64105e-18
      144.730  5.34073e-18
      144.740  7.04300e-18
      144.750  5.56761e-18
      144.760  4.09221e-18
      144.770  3.76966e-18
      144.780  3.44761e-18
      144.790  3.82806e-18
      144.800  4.20910e-18
      144.810  3.64156e-18
      144.820  3.07315e-18
      144.830  3.24804e-18
      144.840  3.42293e-18
      144.850  3.99260e-18
      144.860  4.56140e-18
      144.870  3.59509e-18
      144.880  2.62731e-18
      144.890  2.25270e-18
      144.900  1.87808e-18
      144.910  2.36368e-18
      144.920  2.84853e-18
      144.930  2.69164e-18
      144.940  2.53451e-18
      144.950  2.55673e-18
      144.960  2.57899e-18
      144.970  1.93409e-18
      144.980  1.28920e-18
      144.990  1.55947e-18
      145.000  1.82932e-18
      145.010  1.78738e-18
      145.020  1.74538e-18
      145.030  1.66544e-18
      145.040  1.58549e-18
      145.050  1.70165e-18
      145.060  1.81764e-18
      145.070  1.53140e-18
      145.080  1.24560e-18
      145.090  1.18055e-18
      145.100  1.11541e-18
      145.110  1.31654e-18
      145.120  1.51766e-18
      145.130  1.38160e-18
      145.140  1.24575e-18
      145.150  1.27735e-18
      145.160  1.30900e-18
      145.170  1.19359e-18
      145.180  1.07817e-18
      145.190  1.19286e-18
      145.200  1.30737e-18
      145.210  1.18765e-18
      145.220  1.06812e-18
      145.230  1.04095e-18
      145.240  1.01374e-18
      145.250  1.11733e-18
      145.260  1.22093e-18
      145.270  1.34138e-18
      145.280  1.46165e-18
      145.290  1.50005e-18
      145.300  1.53850e-18
      145.310  1.53776e-18
      145.320  1.53702e-18
      145.330  1.45116e-18
      145.340  1.36530e-18
      145.350  1.30622e-18
      145.360  1.24723e-18
      145.370  1.24154e-18
      145.380  1.23585e-18
      145.390  1.10337e-18
      145.400  9.70890e-19
      145.410  9.51590e-19
      145.420  9.32320e-19
      145.430  9.09063e-19
      145.440  8.85770e-19
      145.450  8.19985e-19
      145.460  7.54100e-19
      145.470  7.78115e-19
      145.480  8.02130e-19
      145.490  7.01789e-19
      145.500  6.01600e-19
      145.510  6.11932e-19
      145.520  6.22280e-19
      145.530  5.98710e-19
      145.540  5.75140e-19
      145.550  5.42460e-19
