# Data taken from Menang et al. (2013), which has been normalised to Thuillier. Smoothed to 0.0003 microns. Triangular.
# Wavelength (microns)    Spectral Luminosity (W micron-1)
1
6.955e5
       1.4513162   9.2593884e+25
       1.4513194   9.2547942e+25
       1.4513225   9.2497583e+25
       1.4513257   9.2441504e+25
       1.4513289   9.2380778e+25
       1.4513321   9.2315661e+25
       1.4513352   9.2246937e+25
       1.4513384   9.2173981e+25
       1.4513416   9.2098063e+25
       1.4513448   9.2019259e+25
       1.4513479   9.1938840e+25
       1.4513511   9.1856033e+25
       1.4513543   9.1771777e+25
       1.4513574   9.1686525e+25
       1.4513606   9.1600333e+25
       1.4513638   9.1513818e+25
       1.4513670   9.1427552e+25
       1.4513701   9.1340704e+25
       1.4513733   9.1254124e+25
       1.4513765   9.1167849e+25
       1.4513797   9.1082099e+25
       1.4513828   9.0996857e+25
       1.4513860   9.0912306e+25
       1.4513892   9.0828733e+25
       1.4513924   9.0745096e+25
       1.4513955   9.0661800e+25
       1.4513987   9.0578623e+25
       1.4514019   9.0495613e+25
       1.4514051   9.0412529e+25
       1.4514082   9.0329352e+25
       1.4514114   9.0245964e+25
       1.4514146   9.0162206e+25
       1.4514177   9.0078108e+25
       1.4514209   8.9993575e+25
       1.4514241   8.9908434e+25
       1.4514273   8.9822666e+25
       1.4514304   8.9736326e+25
       1.4514336   8.9649341e+25
       1.4514368   8.9561728e+25
       1.4514400   8.9473562e+25
       1.4514431   8.9384861e+25
       1.4514463   8.9295781e+25
       1.4514495   8.9206370e+25
       1.4514527   8.9116700e+25
       1.4514558   8.9026966e+25
       1.4514590   8.8937315e+25
       1.4514622   8.8847664e+25
       1.4514654   8.8758271e+25
       1.4514685   8.8669099e+25
       1.4514717   8.8580232e+25
       1.4514749   8.8491678e+25
       1.4514781   8.8403503e+25
       1.4514812   8.8315530e+25
       1.4514844   8.8227290e+25
       1.4514876   8.8139761e+25
       1.4514908   8.8052425e+25
       1.4514939   8.7965301e+25
       1.4514971   8.7878306e+25
       1.4515003   8.7791449e+25
       1.4515034   8.7704759e+25
       1.4515066   8.7617782e+25
       1.4515098   8.7531544e+25
       1.4515130   8.7445600e+25
       1.4515161   8.7360054e+25
       1.4515193   8.7274987e+25
       1.4515225   8.7190565e+25
       1.4515257   8.7106180e+25
       1.4515288   8.7023087e+25
       1.4515320   8.6940695e+25
       1.4515352   8.6859252e+25
       1.4515384   8.6778197e+25
       1.4515415   8.6698590e+25
       1.4515447   8.6619970e+25
       1.4515479   8.6542282e+25
       1.4515511   8.6465055e+25
       1.4515542   8.6389377e+25
       1.4515574   8.6314483e+25
       1.4515606   8.6240567e+25
       1.4515638   8.6166844e+25
       1.4515669   8.6094413e+25
       1.4515701   8.6022868e+25
       1.4515733   8.5951599e+25
       1.4515765   8.5881824e+25
       1.4515796   8.5813248e+25
       1.4515828   8.5745613e+25
       1.4515860   8.5680468e+25
       1.4515892   8.5617832e+25
       1.4515923   8.5557853e+25
       1.4515955   8.5502503e+25
       1.4515987   8.5451849e+25
       1.4516019   8.5407752e+25
       1.4516050   8.5370867e+25
       1.4516082   8.5341648e+25
       1.4516114   8.5322039e+25
       1.4516146   8.5311746e+25
       1.4516177   8.5311967e+25
       1.4516209   8.5322482e+25
       1.4516241   8.5342764e+25
       1.4516273   8.5373496e+25
       1.4516304   8.5413295e+25
       1.4516336   8.5462483e+25
       1.4516368   8.5519299e+25
       1.4516400   8.5583761e+25
       1.4516431   8.5653970e+25
       1.4516463   8.5729906e+25
       1.4516495   8.5809596e+25
       1.4516527   8.5893049e+25
       1.4516558   8.5978531e+25
       1.4516590   8.6066420e+25
       1.4516622   8.6155223e+25
       1.4516654   8.6245538e+25
       1.4516685   8.6336056e+25
       1.4516717   8.6427718e+25
       1.4516749   8.6519214e+25
       1.4516781   8.6611568e+25
       1.4516812   8.6703645e+25
       1.4516844   8.6795943e+25
       1.4516876   8.6889062e+25
       1.4516908   8.6981923e+25
       1.4516939   8.7075651e+25
       1.4516971   8.7169121e+25
       1.4517003   8.7262941e+25
       1.4517035   8.7357609e+25
       1.4517066   8.7452223e+25
       1.4517098   8.7547039e+25
       1.4517130   8.7642778e+25
       1.4517162   8.7738323e+25
       1.4517193   8.7834098e+25
       1.4517225   8.7930639e+25
       1.4517257   8.8026968e+25
       1.4517289   8.8123398e+25
       1.4517320   8.8220613e+25
       1.4517352   8.8317412e+25
       1.4517384   8.8414350e+25
       1.4517416   8.8511970e+25
       1.4517447   8.8609120e+25
       1.4517479   8.8706435e+25
       1.4517511   8.8803770e+25
       1.4517543   8.8901759e+25
       1.4517574   8.8999222e+25
       1.4517606   8.9096695e+25
       1.4517638   8.9194223e+25
       1.4517670   8.9292286e+25
       1.4517701   8.9389767e+25
       1.4517733   8.9487332e+25
       1.4517765   8.9584796e+25
       1.4517797   8.9682370e+25
       1.4517828   8.9780460e+25
